店家帳號,上架時間,上架天數,itemID,商品標題,商品網址,總銷售件數,30天內銷售件數,售價,平均日銷(總銷件/上架天數),喜歡數,消費潛力(總銷件/喜歡數),評價數,評價綜合分數,給評率(幾個評價/總銷件),商品選項,商品api,商店api,選項售價,選項銷量,店鋪名稱
25125249,2017-10-29 10:11:56,1231,634933688,<滿千免運> 正版桌遊 鈕鈕相扣 繁中版,http://shopee.tw/<滿千免運> 正版桌遊 鈕鈕相扣 繁中版-i.25125249.634933688,453,17,"304,304",0.36799350121852153,228,1.986842105263158,219,4.977064,0.48344370860927155,,https://shopee.tw/api/v2/item/get?itemid=634933688&shopid=25125249,https://shopee.tw/api/v4/product/get_shop_info?shopid=25125249,451.96558,487,滿千免運
54984230,2020-09-23 07:22:19,171,5453945195,屁屁偵探 桌遊 ~ 事務所之謎 / 記憶翻翻樂,http://shopee.tw/屁屁偵探 桌遊 ~ 事務所之謎 / 記憶翻翻樂-i.54984230.5453945195,80,16,"255,255",0.4678362573099415,37,2.1621621621621623,35,4.971429,0.4375,"記憶翻翻樂,事務所之謎",https://shopee.tw/api/v2/item/get?itemid=5453945195&shopid=54984230,https://shopee.tw/api/v4/product/get_shop_info?shopid=54984230,"685.05336,406.76994","65,54",GK shop
13930378,2020-11-23 08:18:32,110,4364829176,【陽光桌遊】富饒之城2 ORIFLAMME 繁體中文版 正版桌遊 滿千免運,http://shopee.tw/【陽光桌遊】富饒之城2 ORIFLAMME 繁體中文版 正版桌遊 滿千免運-i.13930378.4364829176,42,8,"480,530",0.38181818181818183,53,0.7924528301886793,27,5.0,0.6428571428571429,"富饒之城2,富饒之城2 + 一包薄套,富饒之城2 + 一包厚套",https://shopee.tw/api/v2/item/get?itemid=4364829176&shopid=13930378,https://shopee.tw/api/v4/product/get_shop_info?shopid=13930378,"747.92895,596.96761,698.5605","13,12,35",【陽光桌遊世界】正版桌遊專賣店！
6777905,2020-12-11 10:16:26,92,5868872698,🚛 【 免運 】抖音同款 蜥蜴吐舌頭 擊牌遊戲 青蛙吐舌桌遊 貪吃變色龍  吐舌頭遊戲 卡片遊戲 交換禮物Z201214,http://shopee.tw/🚛 【 免運 】抖音同款 蜥蜴吐舌頭 擊牌遊戲 青蛙吐舌桌遊 貪吃變色龍  吐舌頭遊戲 卡片遊戲 交換禮物Z201214-i.6777905.5868872698,153,14,"100,100",1.6630434782608696,165,0.9272727272727272,48,4.916667,0.3137254901960784,F,https://shopee.tw/api/v2/item/get?itemid=5868872698&shopid=6777905,https://shopee.tw/api/v4/product/get_shop_info?shopid=6777905,110.25427,268,原家良品 ☘️
136218923,2020-12-19 02:39:13,85,8504278059,德國小強 蟑螂沙拉 德國蟑螂 作弊飛蛾 桌遊 派對 卡片 親子,http://shopee.tw/德國小強 蟑螂沙拉 德國蟑螂 作弊飛蛾 桌遊 派對 卡片 親子-i.136218923.8504278059,274,49,"99,149",3.223529411764706,56,4.892857142857143,96,4.916667,0.35036496350364965,"普通版,護貝封膜版",https://shopee.tw/api/v2/item/get?itemid=8504278059&shopid=136218923,https://shopee.tw/api/v4/product/get_shop_info?shopid=136218923,"192.88718,137.87114,196.85538,270.95555,255.04002,152.7199,141.23159,129.01631","72,27,67,16,54,15,76,17",阿咪仔 寵物市集 寵物用品專賣店
21009277,2019-06-05 06:50:01,647,2293197639,木製 九合一棋類桌遊 棋盤 圍棋 象棋 跳棋  動物棋 飛行棋 西瓜棋 狐狸與鵝 九人毛利等,http://shopee.tw/木製 九合一棋類桌遊 棋盤 圍棋 象棋 跳棋  動物棋 飛行棋 西瓜棋 狐狸與鵝 九人毛利等-i.21009277.2293197639,443,0,"330,330",0.6846986089644513,389,1.1388174807197944,250,4.904,0.5643340857787811,,https://shopee.tw/api/v2/item/get?itemid=2293197639&shopid=21009277,https://shopee.tw/api/v4/product/get_shop_info?shopid=21009277,469.57062,482,san3213
20119572,2018-12-17 16:36:50,817,1757350473,九合一桌遊 經典桌遊 櫸木棋盤 飛行棋 暗棋 鬥獸棋 五子棋 象棋 跳棋 狐狸與鵝 西瓜棋  軍棋 九人毛利 77153,http://shopee.tw/九合一桌遊 經典桌遊 櫸木棋盤 飛行棋 暗棋 鬥獸棋 五子棋 象棋 跳棋 狐狸與鵝 西瓜棋  軍棋 九人毛利 77153-i.20119572.1757350473,1049,1,"350,350",1.2839657282741739,1037,1.0115718418514947,574,4.914634,0.5471877979027645,九合一棋盤組,https://shopee.tw/api/v2/item/get?itemid=1757350473&shopid=20119572,https://shopee.tw/api/v4/product/get_shop_info?shopid=20119572,584.15784,1510,玩美
2101972,2020-09-25 10:10:59,169,4154351922,摩方-屁屁偵探：記憶翻翻樂,http://shopee.tw/摩方-屁屁偵探：記憶翻翻樂-i.2101972.4154351922,17,3,"450,450",0.10059171597633136,10,1.7,9,5.0,0.5294117647058824,,https://shopee.tw/api/v2/item/get?itemid=4154351922&shopid=2101972,https://shopee.tw/api/v4/product/get_shop_info?shopid=2101972,585.69765,29,大衛童書
1767595,2018-08-24 12:30:35,932,1438571218,俄羅斯輪盤【兩天到貨】派對神器 派對 懲罰遊戲 惡搞 夜店 生日 大冒險 聚會 KTV必備 桌遊 酒杯 禮物,http://shopee.tw/俄羅斯輪盤【兩天到貨】派對神器 派對 懲罰遊戲 惡搞 夜店 生日 大冒險 聚會 KTV必備 桌遊 酒杯 禮物-i.1767595.1438571218,176,17,"230,230",0.1888412017167382,111,1.5855855855855856,72,4.888889,0.4090909090909091,俄羅斯輪盤,https://shopee.tw/api/v2/item/get?itemid=1438571218&shopid=1767595,https://shopee.tw/api/v4/product/get_shop_info?shopid=1767595,335.30645,182,皮夾皮帶皮件長夾短夾零錢代購ck禮物飾品情人母親節生日戶外出國旅遊玩具整人水壺杯
49865150,2019-02-27 10:07:06,745,1949178740,現貨》桌遊 大富翁世界版 地產大亨 地產之王 遊戲棋 電子銀行遊戲 含刷卡機 派對遊戲 親子遊戲 遊戲  聚會 大富翁,http://shopee.tw/現貨》桌遊 大富翁世界版 地產大亨 地產之王 遊戲棋 電子銀行遊戲 含刷卡機 派對遊戲 親子遊戲 遊戲  聚會 大富翁-i.49865150.1949178740,455,27,"699,699",0.610738255033557,682,0.6671554252199413,227,4.903084,0.4989010989010989,,https://shopee.tw/api/v2/item/get?itemid=1949178740&shopid=49865150,https://shopee.tw/api/v4/product/get_shop_info?shopid=49865150,1362.7872,834,Double Life 
243296741,2020-04-30 16:03:00,317,7832190268,‼️台灣現貨‼️ 最新 風聲 再臨  中文版含擴展 經典桌遊 超夯 聚會,http://shopee.tw/‼️台灣現貨‼️ 最新 風聲 再臨  中文版含擴展 經典桌遊 超夯 聚會-i.243296741.7832190268,353,23,"259,259",1.113564668769716,245,1.4408163265306122,150,4.866667,0.42492917847025496,,https://shopee.tw/api/v2/item/get?itemid=7832190268&shopid=243296741,https://shopee.tw/api/v4/product/get_shop_info?shopid=243296741,260.06923,603,Life樂活工坊
2711429,2020-06-04 08:12:39,282,3336571944,現貨不用問~台灣製-正版角落生物桌遊-心臟病/對對碰,http://shopee.tw/現貨不用問~台灣製-正版角落生物桌遊-心臟病/對對碰-i.2711429.3336571944,693,39,"235,235",2.4574468085106385,557,1.244165170556553,266,4.984962,0.3838383838383838,"心臟病,對對碰",https://shopee.tw/api/v2/item/get?itemid=3336571944&shopid=2711429,https://shopee.tw/api/v4/product/get_shop_info?shopid=2711429,"433.00371,438.86264","801,524",Peppafamily粉絲佩佩家族
2059352,2019-10-20 07:35:46,510,7002479970,(阿子桌遊)東雨文化 玩出專注力-超級記憶力 TSUM-TSUM系列,http://shopee.tw/(阿子桌遊)東雨文化 玩出專注力-超級記憶力 TSUM-TSUM系列-i.2059352.7002479970,103,3,"175,175",0.2019607843137255,125,0.824,59,4.983051,0.5728155339805825,,https://shopee.tw/api/v2/item/get?itemid=7002479970&shopid=2059352,https://shopee.tw/api/v4/product/get_shop_info?shopid=2059352,341.07026,113,阿子文具童書百貨(春節不休息)
120206019,2020-09-22 08:00:14,172,7553762729,【台灣現貨 24h出貨 99免運】 狼人殺 鬥智遊戲 狼人殺桌遊 卡牌遊戲 聚會遊戲 團康 派對 桌遊 角色扮演,http://shopee.tw/【台灣現貨 24h出貨 99免運】 狼人殺 鬥智遊戲 狼人殺桌遊 卡牌遊戲 聚會遊戲 團康 派對 桌遊 角色扮演-i.120206019.7553762729,1218,9,"4,80",7.0813953488372094,136,8.955882352941176,142,4.93662,0.11658456486042693,"狼人殺鐵盒珍藏版,狼人殺鐵盒NG(外盒小凹陷，卡片完好),110張牌套(是保護套，不是牌，可套整組,牌套5入(不含狼人殺卡牌),卡片收納袋,眼罩,立式卡托(單入),一分鐘沙漏",https://shopee.tw/api/v2/item/get?itemid=7553762729&shopid=120206019,https://shopee.tw/api/v4/product/get_shop_info?shopid=120206019,"42.85321,15.387,5.384,212.07872,6.81299,24.6298,124.6487,115.58721","20,191,461,520,531,50,64,53",倍司好物小舖
13930378,2016-12-17 12:03:37,1547,109000092,【陽光桌遊】矮人礦坑 Saboteur 繁體中文版/英文版付中規 正版桌遊 滿千免運,http://shopee.tw/【陽光桌遊】矮人礦坑 Saboteur 繁體中文版/英文版付中規 正版桌遊 滿千免運-i.13930378.109000092,274,13,"460,570",0.17711700064641242,156,1.7564102564102564,172,4.947059,0.6277372262773723,"矮人礦坑中文,矮人礦坑中文+一包薄套,矮人礦坑中文+足量厚套,矮人礦坑中文+一包薄套+大卡盒,矮人礦坑中文+足量厚套+大卡盒,矮人礦坑英泰版附中規,矮人礦坑英泰版附中規+一包薄套,矮人礦坑英泰版附中規+足量厚套,矮人礦坑英泰版附中規+一包薄套+大卡盒,矮人礦坑英泰版附中規+足量厚套+大卡盒",https://shopee.tw/api/v2/item/get?itemid=109000092&shopid=13930378,https://shopee.tw/api/v4/product/get_shop_info?shopid=13930378,"646.43151,850.20606,727.89697,702.48311,625.66534,1128.37933,1055.70055,828.13068,900.7923,1039.68238","41,113,6,2,2,0,0,101,22,72",【陽光桌遊世界】正版桌遊專賣店！
12299,2016-01-27 12:33:33,1872,7359586,【W先生】船轉企鵝 企鵝海盜船 企鵝平衡船 諾亞方舟 平衡遊戲 危機一發 桌遊 疊疊樂 益智遊戲 心臟病 抽抽樂,http://shopee.tw/【W先生】船轉企鵝 企鵝海盜船 企鵝平衡船 諾亞方舟 平衡遊戲 危機一發 桌遊 疊疊樂 益智遊戲 心臟病 抽抽樂-i.12299.7359586,423,23,"150,150",0.22596153846153846,408,1.036764705882353,215,4.894231,0.508274231678487,,https://shopee.tw/api/v2/item/get?itemid=7359586&shopid=12299,https://shopee.tw/api/v4/product/get_shop_info?shopid=12299,282.97917,711,W先生 玩具店
5396817,2019-11-05 07:23:02,494,3905526656,雙人對打機 即時對戰 双人對打 爆頭 小人對打 派對桌遊 雙人對戰桌面遊戲,http://shopee.tw/雙人對打機 即時對戰 双人對打 爆頭 小人對打 派對桌遊 雙人對戰桌面遊戲-i.5396817.3905526656,780,31,"100,100",1.5789473684210527,404,1.9306930693069306,355,4.932394,0.4551282051282051,,https://shopee.tw/api/v2/item/get?itemid=3905526656&shopid=5396817,https://shopee.tw/api/v4/product/get_shop_info?shopid=5396817,146.76872,1325,濛濛家  正版玩具 嬰幼兒用品 台灣賣家
6250741,2019-01-27 11:53:11,776,1872383551,【小資特】益智桌遊 配對玩接龍 粉紅豬小妹 記憶對對碰 ABC動物配對 小孔雀顏色接龍 瘋狂快手心臟病 驚爆99,http://shopee.tw/【小資特】益智桌遊 配對玩接龍 粉紅豬小妹 記憶對對碰 ABC動物配對 小孔雀顏色接龍 瘋狂快手心臟病 驚爆99-i.6250741.1872383551,1407,16,"110,169",1.8131443298969072,633,2.2227488151658767,362,4.980663,0.2572850035536603,"ABC動物配對,小孔雀顏色接龍,瘋狂快手心臟病,驚爆99,終極數字撲克,大老二之13生肖爭霸戰,超級瘋狂８,眼明手更快,粉紅豬小妹 記憶對對碰,粉紅豬小妹 撲通撲通心臟病,波力 配對玩接龍 ,波力 布姆鎮大救援,粉紅豬小妹 眼明手快配對趣 (大),波力 眼明手快配對趣 (大)",https://shopee.tw/api/v2/item/get?itemid=1872383551&shopid=6250741,https://shopee.tw/api/v4/product/get_shop_info?shopid=6250741,"287.72999,201.02742,271.37718,210.22088,168.64741,220.16278,291.00821,213.48826,121.24028,199.3825,145.86993,142.69623,191.24077,324.99644","425,300,195,153,74,100,58,237,280,141,52,18,2,7",小資特 桌遊 作文 參考書 繪本 童書 拼圖 有聲書 玩具 文具 貼紙 故事書
165701708,2020-07-21 08:53:13,235,3243271116,鬼滅之刃桌游 禰豆子炭治郎 親子桌遊禮物 撲克牌 真心話大冒險,http://shopee.tw/鬼滅之刃桌游 禰豆子炭治郎 親子桌遊禮物 撲克牌 真心話大冒險-i.165701708.3243271116,1144,32,"29,29",4.868085106382979,114,10.035087719298245,173,4.976879,0.15122377622377622,,https://shopee.tw/api/v2/item/get?itemid=3243271116&shopid=165701708,https://shopee.tw/api/v4/product/get_shop_info?shopid=165701708,38.51675,1790,YDDo1~小角落大賣場
29274853,2019-08-20 15:09:51,571,2686274370,【台灣現貨+免運+按讚送折價卷】阿瓦隆 狼人殺 桌遊 聚會必備 旅行 派對 團康 遊戲 紙牌 正版阿瓦隆 多人遊戲,http://shopee.tw/【台灣現貨+免運+按讚送折價卷】阿瓦隆 狼人殺 桌遊 聚會必備 旅行 派對 團康 遊戲 紙牌 正版阿瓦隆 多人遊戲-i.29274853.2686274370,2139,8,"9,199",3.7460595446584937,745,2.8711409395973155,803,4.946451,0.375409069658719,"【經典款-阿瓦隆】,【護貝版-阿瓦隆】,【護貝版-阿瓦隆】外盒微損 ,【經典款-阿瓦隆】外盒微損 + 收納袋,【經典款-阿瓦隆】專用牌套(100張) ,【阿瓦隆】專用絨布束口收納袋,【阿瓦隆】防作弊眼罩",https://shopee.tw/api/v2/item/get?itemid=2686274370&shopid=29274853,https://shopee.tw/api/v4/product/get_shop_info?shopid=29274853,"177.82716,243.0405,83.04552,321.72107,78.90324,136.16379,10.41378","666,2457,279,120,103,27,239",卓弗克 J‧F
8540743,2019-12-05 06:31:01,464,4010064536,6款熱銷桌遊組合包 捉魚遊戲 動物九宮格遊戲 接龍遊戲 青蛙彈跳遊戲 Bingo連線遊戲 手指配色配對遊戲,http://shopee.tw/6款熱銷桌遊組合包 捉魚遊戲 動物九宮格遊戲 接龍遊戲 青蛙彈跳遊戲 Bingo連線遊戲 手指配色配對遊戲-i.8540743.4010064536,796,21,"362,362",1.7155172413793103,679,1.1723122238586157,399,4.924812,0.5012562814070352,,https://shopee.tw/api/v2/item/get?itemid=4010064536&shopid=8540743,https://shopee.tw/api/v4/product/get_shop_info?shopid=8540743,700.03797,1422,美寶精品玩具
228714135,2021-02-27 08:54:39,14,9818551186,【台灣出貨 免運費 升級多陷阱款】 兔子陷阱越野賽 兔子陷阱 兔子陷阱桌遊 兔兔陷阱 兔兔陷阱桌遊 派對遊戲 瘋狂桌遊,http://shopee.tw/【台灣出貨 免運費 升級多陷阱款】 兔子陷阱越野賽 兔子陷阱 兔子陷阱桌遊 兔兔陷阱 兔兔陷阱桌遊 派對遊戲 瘋狂桌遊-i.228714135.9818551186,340,0,"168,168",24.285714285714285,301,1.1295681063122924,167,4.904192,0.49117647058823527,一組（游戲卡片24張+兔子16只+棋盤1,https://shopee.tw/api/v2/item/get?itemid=9818551186&shopid=228714135,https://shopee.tw/api/v4/product/get_shop_info?shopid=228714135,297.24151,475,✨WHALEのMART - 鯨選館✨
59509357,2020-04-23 10:10:55,324,6031176364,【24H寄出台灣現貨99免運】暑假桌遊 害你在心口難開 爆笑不要做挑戰遊戲卡牌 遊戲 桌遊 對不起害到你 不要做 卡牌,http://shopee.tw/【24H寄出台灣現貨99免運】暑假桌遊 害你在心口難開 爆笑不要做挑戰遊戲卡牌 遊戲 桌遊 對不起害到你 不要做 卡牌-i.59509357.6031176364,6964,216,"99,99",21.493827160493826,1774,3.9255918827508456,1825,4.922192,0.26206203331418726,"基礎版綠盒(贈頭帶*8、空白卡*8、筆),擴充版黃盒(可獨立玩 贈頭帶、卡、筆),🐺狼人殺基礎版🐺",https://shopee.tw/api/v2/item/get?itemid=6031176364&shopid=59509357,https://shopee.tw/api/v4/product/get_shop_info?shopid=59509357,"150.8385,101.70476,121.65793","7011,4488,69",七七市集 - 好物嚴選 ； 買東西找七七
10863799,2020-09-12 11:49:13,182,4052135991,兒童魔方變臉積木魔方邏輯 卡通變臉魔術積木 趣味變臉魔方 親子互動 兒童桌遊 手眼協調競賽遊戲,http://shopee.tw/兒童魔方變臉積木魔方邏輯 卡通變臉魔術積木 趣味變臉魔方 親子互動 兒童桌遊 手眼協調競賽遊戲-i.10863799.4052135991,1803,91,"188,188",9.906593406593407,733,2.459754433833561,822,4.944039,0.4559068219633943,變臉魔方桌遊,https://shopee.tw/api/v2/item/get?itemid=4052135991&shopid=10863799,https://shopee.tw/api/v4/product/get_shop_info?shopid=10863799,245.3233,2308,萬事屋生活百貨★倒流香 ★線香★ 塔香 ★盤香 ★倒流香座 ★茶具★ 茶葉★
29274853,2021-03-05 12:36:36,8,8221101637,【台灣現貨+免運保固+按讚送折價卷】拉密牌 以色列麻將 拉密桌遊 旅行桌遊 拉密 桌遊,http://shopee.tw/【台灣現貨+免運保固+按讚送折價卷】拉密牌 以色列麻將 拉密桌遊 旅行桌遊 拉密 桌遊-i.29274853.8221101637,1,0,"249,529",0.125,4,0.25,0,0.0,0.0,"【以色列拉密麻將】旅行袋裝版,【以色列拉密麻將】旅行盒裝版,【以色列拉密麻將】標準盒版",https://shopee.tw/api/v2/item/get?itemid=8221101637&shopid=29274853,https://shopee.tw/api/v4/product/get_shop_info?shopid=29274853,"473.59034,630.73436,392.43829","1,0,0",卓弗克 J‧F
8792213,2019-12-06 08:46:43,463,3810325920,【⭐️送沙漏⭐️ 現貨在台❗️】拉密 以色列拉密麻將 旅行袋裝 盒裝版 大字版 數字麻將牌旅行聚會遊戲,http://shopee.tw/【⭐️送沙漏⭐️ 現貨在台❗️】拉密 以色列拉密麻將 旅行袋裝 盒裝版 大字版 數字麻將牌旅行聚會遊戲-i.8792213.3810325920,823,159,"129,880",1.7775377969762418,400,2.0575,392,4.908163,0.47630619684082626,"小乖蛋袋裝旅行+沙漏,盒裝旅行版+沙漏,標準版+沙漏,大號數字+沙漏,最新6玩家對戰版+沙漏,狼人殺便攜版+牌套",https://shopee.tw/api/v2/item/get?itemid=3810325920&shopid=8792213,https://shopee.tw/api/v4/product/get_shop_info?shopid=8792213,"265.48459,487.395,1557.56994,626.36892,1173.46596,143.83497","597,238,103,164,89,10",迷你shop
